Facility.Id,FRS.Id,Facility.Name,City,State,Primary.NAICS.Code,Year,Industry.Type,Sector,Unit.Name,Fuel.Type,Specific.Fuel.Type,Other.Fuel.Name,Blend.Fuel.Name,Methane.emissions,Nitrous.Oxide.emissions
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2021,"C,D",Power Plants,GP-engines,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2020,"C,D",Power Plants,**7,Natural Gas,Natural Gas (Weighted U.S. Average),,,2.25,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2020,"C,D",Power Plants,**8,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.75,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2020,"C,D",Power Plants,**8,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2020,"C,D",Power Plants,9,Natural Gas,Natural Gas (Weighted U.S. Average),,,19.75,23.84
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2020,"C,D",Power Plants,9 - Process Heater,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2020,"C,D",Power Plants,GP-engines,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2019,"C,D",Power Plants,**7,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.5,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2019,"C,D",Power Plants,**8,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.5,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2019,"C,D",Power Plants,**8,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2019,"C,D",Power Plants,9,Natural Gas,Natural Gas (Weighted U.S. Average),,,5.5,5.96
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2019,"C,D",Power Plants,9 - Process Heater,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2019,"C,D",Power Plants,GP-engines,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2018,"C,D",Power Plants,**7,Natural Gas,Natural Gas (Weighted U.S. Average),,,1,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2018,"C,D",Power Plants,**8,Natural Gas,Natural Gas (Weighted U.S. Average),,,2,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2018,"C,D",Power Plants,**8,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2018,"C,D",Power Plants,9,Natural Gas,Natural Gas (Weighted U.S. Average),,,12,14.9
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2018,"C,D",Power Plants,9 - Process Heater,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2018,"C,D",Power Plants,GP-engines,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2017,"C,D",Power Plants,**7,Natural Gas,Natural Gas (Weighted U.S. Average),,,3.5,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2017,"C,D",Power Plants,**8,Natural Gas,Natural Gas (Weighted U.S. Average),,,9.5,11.92
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2017,"C,D",Power Plants,9,Natural Gas,Natural Gas (Weighted U.S. Average),,,10.75,11.92
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2017,"C,D",Power Plants,9 - Process Heater,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2017,"C,D",Power Plants,GP-engines,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2015,"C,D",Power Plants,**7,Natural Gas,Natural Gas (Weighted U.S. Average),,,2.5,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2015,"C,D",Power Plants,**8,Natural Gas,Natural Gas (Weighted U.S. Average),,,2.25,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2015,"C,D",Power Plants,9,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.75,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2015,"C,D",Power Plants,9 - Process Heater,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2015,"C,D",Power Plants,GP-engines,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2014,"C,D",Power Plants,**7,Natural Gas,Natural Gas (Weighted U.S. Average),,,1.5,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2014,"C,D",Power Plants,**7,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2014,"C,D",Power Plants,**8,Natural Gas,Natural Gas (Weighted U.S. Average),,,1.75,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2014,"C,D",Power Plants,**8,Petroleum Products,Distillate Fuel Oil No. 2,,,0.25,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2014,"C,D",Power Plants,9,Natural Gas,Natural Gas (Weighted U.S. Average),,,2.25,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2014,"C,D",Power Plants,9 - Process Heater,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2013,"C,D",Power Plants,**7,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.75,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2013,"C,D",Power Plants,**8,Natural Gas,Natural Gas (Weighted U.S. Average),,,1,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2013,"C,D",Power Plants,9,Natural Gas,Natural Gas (Weighted U.S. Average),,,2.75,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2013,"C,D",Power Plants,9 - Process Heater,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2012,"C,D",Power Plants,**7,Natural Gas,Natural Gas (Weighted U.S. Average),,,1.75,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2012,"C,D",Power Plants,**7,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2012,"C,D",Power Plants,**8,Natural Gas,Natural Gas (Weighted U.S. Average),,,1.5,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2012,"C,D",Power Plants,**8,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2012,"C,D",Power Plants,9,Natural Gas,Natural Gas (Weighted U.S. Average),,,10.5,11.92
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2012,"C,D",Power Plants,9 - Process Heater,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2011,"C,D",Power Plants,**7,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.25,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2011,"C,D",Power Plants,**7,Petroleum Products,Distillate Fuel Oil No. 2,,,0.25,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2011,"C,D",Power Plants,**8,Natural Gas,Natural Gas (Weighted U.S. Average),,,1.25,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2011,"C,D",Power Plants,**8,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2011,"C,D",Power Plants,9,Natural Gas,Natural Gas (Weighted U.S. Average),,,3,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2011,"C,D",Power Plants,9 - Process Heater,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2016,C,Other,GP-Natural Gas Sources,Natural Gas,Natural Gas (Weighted U.S. Average),,,11,13.112
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2016,C,Other,GP-Sources Using Fuel Oil,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2015,C,Other,BC Boiler,Coal,Bituminous,,,0,0
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2015,C,Other,GP-Natural Gas Sources,Natural Gas,Natural Gas (Weighted U.S. Average),,,11,13.112
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2015,C,Other,GP-Sources Using Fuel Oil,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2014,C,Other,BC Boiler,Coal,Bituminous,,,0,0
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2014,C,Other,GP-Natural Gas Sources,Natural Gas,Natural Gas (Weighted U.S. Average),,,11.75,14.006
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2014,C,Other,GP-Sources Using Fuel Oil,Petroleum Products,Distillate Fuel Oil No. 2,,,0.25,0.596
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2013,C,Other,BC Boiler,Coal,Bituminous,,,1,1.788
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2013,C,Other,GP-Natural Gas Sources,Natural Gas,Natural Gas (Weighted U.S. Average),,,10,11.92
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2013,C,Other,GP-Sources Using Fuel Oil,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2012,C,Other,BC Boiler,Coal,Bituminous,,,0,0
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2012,C,Other,GP-Natural Gas Sources,Natural Gas,Natural Gas (Weighted U.S. Average),,,9.75,11.622
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2012,C,Other,GP-Sources Using Fuel Oil,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2011,C,Other,BC Boiler,Coal,Bituminous,,,8,13.708
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2011,C,Other,GP-Natural Gas Sources,Natural Gas,Natural Gas (Weighted U.S. Average),,,10.75,12.814
1002853,1.10E+11,ABBOTT NUTRITION,Sturgis,MI,311514,2011,C,Other,GP-Sources Using Fuel Oil,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2022,C,Power Plants,CP-FG-ENERGY,Natural Gas,Natural Gas (Weighted U.S. Average),,,59.75,71.222
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2021,C,Power Plants,CP-FG-ENERGY,Natural Gas,Natural Gas (Weighted U.S. Average),,,49.25,58.706
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2020,C,Power Plants,CP-FG-ENERGY,Natural Gas,Natural Gas (Weighted U.S. Average),,,40.5,48.276
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2019,C,Power Plants,EUDUCTBURNER,Natural Gas,Natural Gas (Weighted U.S. Average),,,3.75,4.47
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2019,C,Power Plants,EUTURBINE,Natural Gas,Natural Gas (Weighted U.S. Average),,,34.75,41.422
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2018,C,Power Plants,EUDUCTBURNER,Natural Gas,Natural Gas (Weighted U.S. Average),,,5.75,6.854
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2018,C,Power Plants,EUTURBINE,Natural Gas,Natural Gas (Weighted U.S. Average),,,41.75,49.766
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2017,C,Power Plants,EUDUCTBURNER,Natural Gas,Natural Gas (Weighted U.S. Average),,,5,5.96
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2017,C,Power Plants,EUTURBINE,Natural Gas,Natural Gas (Weighted U.S. Average),,,40,47.68
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2016,C,Power Plants,EUDUCTBURNER,Natural Gas,Natural Gas (Weighted U.S. Average),,,5,5.96
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2016,C,Power Plants,EUTURBINE,Natural Gas,Natural Gas (Weighted U.S. Average),,,39.25,46.786
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2015,C,Power Plants,EUDUCTBURNER,Natural Gas,Natural Gas (Weighted U.S. Average),,,4.75,5.662
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2015,C,Power Plants,EUTURBINE,Natural Gas,Natural Gas (Weighted U.S. Average),,,40,47.68
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2014,C,Power Plants,EUDUCTBURNER,Natural Gas,Natural Gas (Weighted U.S. Average),,,6.25,7.45
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2014,C,Power Plants,EUTURBINE,Natural Gas,Natural Gas (Weighted U.S. Average),,,45.25,53.938
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2013,C,Power Plants,EUDUCTBURNER,Natural Gas,Natural Gas (Weighted U.S. Average),,,5.25,5.96
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2013,C,Power Plants,EUTURBINE,Natural Gas,Natural Gas (Weighted U.S. Average),,,42.25,50.362
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2012,C,Power Plants,EUDUCTBURNER,Natural Gas,Natural Gas (Weighted U.S. Average),,,3.5,4.172
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2012,C,Power Plants,EUTURBINE,Natural Gas,Natural Gas (Weighted U.S. Average),,,38.5,45.892
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2011,C,Power Plants,EUDUCTBURNER,Natural Gas,Natural Gas (Weighted U.S. Average),,,6.25,7.45
1002731,1.10E+11,ADA COGENERATION,Ada,MI,221112,2011,C,Power Plants,EUTURBINE,Natural Gas,Natural Gas (Weighted U.S. Average),,,44.75,53.342
1001991,1.10E+11,ADRIAN LANDFILL,Adrian,MI,562212,2014,"C,HH",Waste,GP-Office/Garage Building,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1001991,1.10E+11,ADRIAN LANDFILL,Adrian,MI,562212,2013,"C,HH",Waste,GP-Office/Garage Building,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1001991,1.10E+11,ADRIAN LANDFILL,Adrian,MI,562212,2012,"C,HH",Waste,Office/Garage Building,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1001991,1.10E+11,ADRIAN LANDFILL,Adrian,MI,562212,2011,"C,HH",Waste,GP-Natural gas units,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.25,0.298
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331110,2019,"C,Q",Metals,CP-BFG_CStoves,Other,Blast Furnace Gas,,,1.5,85.526
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331110,2019,"C,Q",Metals,CP-Severstal_NGEAST,Natural Gas,Natural Gas (Weighted U.S. Average),,,28.25,33.674
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331110,2019,"C,Q",Metals,CP-Severstal_NGWEST,Natural Gas,Natural Gas (Weighted U.S. Average),,,136.5,162.708
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331110,2018,"C,Q",Metals,CP-BFG_CStoves,Other,Blast Furnace Gas,,,1.75,101.32
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331110,2018,"C,Q",Metals,CP-Severstal_NGEAST,Natural Gas,Natural Gas (Weighted U.S. Average),,,15.75,18.774
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331110,2018,"C,Q",Metals,CP-Severstal_NGWEST,Natural Gas,Natural Gas (Weighted U.S. Average),,,142.25,169.562
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2017,"C,Q",Metals,CP-BFG_BStoves,Other,Blast Furnace Gas,,,0,0
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2017,"C,Q",Metals,CP-BFG_CStoves,Other,Blast Furnace Gas,,,1.75,90.592
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2017,"C,Q",Metals,CP-Severstal_NGEAST,Natural Gas,Natural Gas (Weighted U.S. Average),,,17.5,20.86
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2017,"C,Q",Metals,CP-Severstal_NGWEST,Natural Gas,Natural Gas (Weighted U.S. Average),,,106.75,127.246
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2016,"C,Q",Metals,CP-BFG_BStoves,Other,Blast Furnace Gas,,,0,0
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2016,"C,Q",Metals,CP-BFG_CStoves,Other,Blast Furnace Gas,,,2,112.048
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2016,"C,Q",Metals,CP-Severstal_NGEAST,Natural Gas,Natural Gas (Weighted U.S. Average),,,13.5,16.092
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2016,"C,Q",Metals,CP-Severstal_NGWEST,Natural Gas,Natural Gas (Weighted U.S. Average),,,112,133.504
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2015,"C,Q",Metals,CP-BFG_BStoves,Other,Blast Furnace Gas,,,0,0
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2015,"C,Q",Metals,CP-BFG_CStoves,Other,Blast Furnace Gas,,,2,105.79
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2015,"C,Q",Metals,CP-Severstal_NGEAST,Natural Gas,Natural Gas (Weighted U.S. Average),,,13.25,15.794
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2015,"C,Q",Metals,CP-Severstal_NGWEST,Natural Gas,Natural Gas (Weighted U.S. Average),,,144.5,172.244
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2014,"C,Q",Metals,CP-BFG_BStoves,Other,Blast Furnace Gas,,,0,0
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2014,"C,Q",Metals,CP-BFG_CStoves,Other,Blast Furnace Gas,,,1.75,97.446
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2014,"C,Q",Metals,CP-Severstal_NGEAST,Natural Gas,Natural Gas (Weighted U.S. Average),,,19.75,23.542
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2014,"C,Q",Metals,CP-Severstal_NGWEST,Natural Gas,Natural Gas (Weighted U.S. Average),,,166.75,198.766
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2013,"C,Q",Metals,CP-BFG_BStoves,Other,Blast Furnace Gas,,,0,0
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2013,"C,Q",Metals,CP-BFG_CStoves,Other,Blast Furnace Gas,,,2,107.28
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2013,"C,Q",Metals,CP-Severstal_NGEAST,Natural Gas,Natural Gas (Weighted U.S. Average),,,14.25,16.986
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2013,"C,Q",Metals,CP-Severstal_NGWEST,Natural Gas,Natural Gas (Weighted U.S. Average),,,169.25,201.746
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2012,"C,Q",Metals,CP-BFG_BStoves,Other,Blast Furnace Gas,,,0,0
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2012,"C,Q",Metals,CP-BFG_CStoves,Other,Blast Furnace Gas,,,1.75,100.724
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2012,"C,Q",Metals,CP-Severstal_NGEAST,Natural Gas,Natural Gas (Weighted U.S. Average),,,11.25,13.41
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2012,"C,Q",Metals,CP-Severstal_NGWEST,Natural Gas,Natural Gas (Weighted U.S. Average),,,161.25,192.21
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2011,"C,Q",Metals,CP-BFG_BStoves,Other,Blast Furnace Gas,,,0,0
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2011,"C,Q",Metals,CP-BFG_CStoves,Other,Blast Furnace Gas,,,1.75,96.552
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2011,"C,Q",Metals,CP-Severstal_NGEAST,Natural Gas,Natural Gas (Weighted U.S. Average),,,10,11.92
1003403,1.10E+11,AK STEEL DEARBORN WORKS,Dearborn,MI,331111,2011,"C,Q",Metals,CP-Severstal_NGWEST,Natural Gas,Natural Gas (Weighted U.S. Average),,,154.5,184.164
1004275,1.10E+11,ANDERSON DEVELOPMENT COMPANY,Adrian,MI,325120,2013,"C,L,OO","Chemicals, Industrial Gas Suppliers",GP-COMBUSTION SOURCES GULF ST,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.5,4.47
1004275,1.10E+11,ANDERSON DEVELOPMENT COMPANY,Adrian,MI,325120,2012,"C,L,OO","Chemicals, Industrial Gas Suppliers",GP-COMBUSTION SOURCES GULF ST,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.5,0.596
1004275,1.10E+11,ANDERSON DEVELOPMENT COMPANY,Adrian,MI,325120,2011,"C,L,OO","Chemicals, Industrial Gas Suppliers",GP-COMBUSTION SOURCES GULF ST,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.25,0.298
1007933,1.10E+11,ANDERSONS ALBION ETHANOL LLC,Albion,MI,325193,2018,"C,II,PP","Other, Suppliers of CO2, Waste",GP-Albion Facility,Natural Gas,Natural Gas (Weighted U.S. Average),,,104.5,124.564
1007933,1.10E+11,ANDERSONS ALBION ETHANOL LLC,Albion,MI,325193,2018,"C,II,PP","Other, Suppliers of CO2, Waste",GP-Albion Facility,Other,Other Biomass Gases,,,0.25,0.298
1007933,1.10E+11,ANDERSONS ALBION ETHANOL LLC,Albion,MI,325193,2017,"C,II,PP","Other, Suppliers of CO2, Waste",GP-Albion Facility,Natural Gas,Natural Gas (Weighted U.S. Average),,,89.25,106.386
1007933,1.10E+11,ANDERSONS ALBION ETHANOL LLC,Albion,MI,325193,2017,"C,II,PP","Other, Suppliers of CO2, Waste",GP-Albion Facility,Other,Other Biomass Gases,,,0,0.298
1007933,1.10E+11,ANDERSONS ALBION ETHANOL LLC,Albion,MI,325193,2016,"C,II,PP","Other, Suppliers of CO2, Waste",GP-Albion Facility,Natural Gas,Natural Gas (Weighted U.S. Average),,,43.25,51.554
1007933,1.10E+11,ANDERSONS ALBION ETHANOL LLC,Albion,MI,325193,2016,"C,II,PP","Other, Suppliers of CO2, Waste",GP-Albion Facility,Other,Other Biomass Gases,,,0.25,0.596
1007933,1.10E+11,ANDERSONS ALBION ETHANOL LLC,Albion,MI,325193,2015,"C,II,PP","Other, Suppliers of CO2, Waste",GP-Albion Facility,Natural Gas,Natural Gas (Weighted U.S. Average),,,45.5,54.236
1007933,1.10E+11,ANDERSONS ALBION ETHANOL LLC,Albion,MI,325193,2015,"C,II,PP","Other, Suppliers of CO2, Waste",GP-Albion Facility,Other,Other Biomass Gases,,,0.25,0.596
1007933,1.10E+11,ANDERSONS ALBION ETHANOL LLC,Albion,MI,325193,2014,"C,II,PP","Other, Suppliers of CO2, Waste",GP-Albion Facility,Natural Gas,Natural Gas (Weighted U.S. Average),,,46,54.832
1007933,1.10E+11,ANDERSONS ALBION ETHANOL LLC,Albion,MI,325193,2014,"C,II,PP","Other, Suppliers of CO2, Waste",GP-Albion Facility,Other,Other Biomass Gases,,,0,0.298
1007933,1.10E+11,ANDERSONS ALBION ETHANOL LLC,Albion,MI,325193,2013,"C,II,PP","Other, Suppliers of CO2, Waste",GP-Albion Facility,Natural Gas,Natural Gas (Weighted U.S. Average),,,46,54.832
